# q 2pi/a (xi, 0, 0)	hw  (cm^{-1})
0.40671523449679314	1399.5494121236302
0.41331145210659903	1396.3590890346893
0.41917010027591806	1392.2548503572184
0.4257646415915407	1388.607904732849
0.4316266423492258	1385.416911126235
0.43822118366484836	1381.7699655018657
0.44408150812835034	1378.1223493598234
0.4506760494439733	1374.475403735454
0.4558021570553546	1370.8271170757384
0.4616591289304909	1366.266255862839
0.46752280598235857	1363.5318847916535
0.49316675439272895	1348.943431776503
0.49902540256204797	1344.8391930990322
0.5056232964660365	1342.1054925455198
0.510747727783235	1338.0005833503758
0.5173405928046748	1333.8970151905778
0.5217308072697525	1329.7914354777606
0.5283253485853753	1326.1444898533914
0.5341856730488775	1322.4968737113488
0.5400459975123795	1318.8492575693065
0.5451704288295779	1314.7443483741622
0.5517632938510177	1310.6407802143644
0.5568894014623991	1306.992493554649
0.5620138327795975	1302.887584359505
0.583245774900512	1286.4686180966014
0.5883685299235274	1281.907086366029
0.5927570680944223	1277.344884117783
0.5971472825595001	1273.2393044049659
0.6030042544346362	1268.6784431920664
0.6066602520475933	1264.572192961576
0.6110487902184882	1260.0099907133304
0.6161715452415036	1255.4484589827578
0.6198258665602778	1250.8855862168389
0.6242127284369898	1245.8667614331646
0.6278687260499469	1241.760511202674
0.6315213710745381	1236.7410159013266
0.6351756923933123	1232.1781431354077
0.6388283374179035	1227.1586478340603
0.6424826587366776	1222.5957750681414
0.6454010869091482	1217.5756092491208
0.6483195150816188	1212.5554434301002
0.6512379432540893	1207.5352776110797
0.6541563714265599	1202.515111792059
0.6578090164511511	1197.4956164907117
0.6622009072104118	1193.846659313323
0.6651360983247117	1193.392718848587
0.6666666666666666	1193.3947304016065
0.6673387488810736	1193.3947304016065
0.6695413994374356	1193.3967419546261
0.6739651397861719	1198.4236129503784
0.6776529869886045	1202.993190893029
0.6806099699272824	1208.4753433888634
0.6842978171297149	1213.044921331514
0.6865172306279064	1217.6131582388184
0.6894708609782182	1222.1820656637958
0.6924295202110791	1228.1208406950586
0.6968515842656323	1232.6910891553825
0.7005411077622479	1237.7172896334616
0.7034947381125598	1242.286197058439
0.7064500447570548	1247.311727018845
0.7108721088116079	1251.881975479169
0.7145599560140407	1256.4515534218194
0.7175152626585355	1261.4770833822254
0.7219390030072717	1266.5039543779776
0.7241567402112801	1270.6155687498533
0.745534519926109	1293.9227630692276
0.7551128648873362	1303.0639305075483
0.7727994448113666	1320.8883018134152
0.7772215088659199	1325.4585502737389
0.7816418966262904	1329.5721761986342
0.7963748462000086	1342.8276400795235
0.8022636676646205	1346.942607039765
0.8765771413820039	1389.9328476550322
0.8839293676683084	1392.6792880443347
0.8912815939546128	1395.4257284336375
0.8978996033887963	1398.1714983052668
0.4008565863274742	1403.653650801101
0.4316266423492258	1385.416911126235
0.44994183259185255	1374.4747332177808
0.46752112968817583	1363.075262256225
